benchmark	baseline_best3_ns	candidate_best3_ns	delta_percent	verdict
Map/4/std::less<>/IndexOf/Before	3.828889	3.486842	-8.933	PASS
Map/4/std::less<>/IndexOf/First	1.043692	1.074111	+2.915	FAIL
Map/4/std::less<>/IndexOf/Last	0.696336	0.695132	-0.173	PASS
Map/4/std::less<>/IndexOf/MiddleHit	1.390568	1.042588	-25.024	PASS
Map/4/std::less<>/IndexOf/MiddleMiss	1.044242	1.043109	-0.108	PASS
Map/4/std::less<>/LowerBound/After	2.622410	2.086192	-20.448	PASS
Map/4/std::less<>/LowerBound/Before	3.135701	4.205038	+34.102	FAIL
Map/4/std::less<>/LowerBound/First	1.666240	1.738767	+4.353	FAIL
Map/4/std::less<>/LowerBound/Last	1.082346	1.043908	-3.551	PASS
Map/4/std::less<>/LowerBound/MiddleHit	1.063189	1.389794	+30.719	FAIL
Map/4/std::less<>/LowerBound/MiddleMiss	1.115803	1.391051	+24.668	FAIL
Map/4/std::less<>/UpperBound/After	2.437672	2.108909	-13.487	PASS
Map/4/std::less<>/UpperBound/Before	3.133640	4.174005	+33.200	FAIL
Map/4/std::less<>/UpperBound/First	1.665238	1.362513	-18.179	PASS
Map/4/std::less<>/UpperBound/Last	1.055886	0.829900	-21.403	PASS
Map/4/std::less<>/UpperBound/MiddleHit	1.057811	1.167106	+10.332	FAIL
Map/4/std::less<>/UpperBound/MiddleMiss	1.092541	0.932098	-14.685	PASS
Map/8/mbo::types::CompareLess<int>/IndexOf/After	1.045568	1.044751	-0.078	PASS
Map/8/mbo::types::CompareLess<int>/IndexOf/Before	1.430741	1.445497	+1.031	FAIL
Map/8/mbo::types::CompareLess<int>/IndexOf/First	1.744506	1.743634	-0.050	PASS
Map/8/mbo::types::CompareLess<int>/IndexOf/Last	1.045903	1.044294	-0.154	PASS
Map/8/mbo::types::CompareLess<int>/IndexOf/MiddleHit	1.744113	1.742502	-0.092	PASS
Map/8/mbo::types::CompareLess<int>/IndexOf/MiddleMiss	1.743220	1.742154	-0.061	PASS
Map/8/mbo::types::CompareLess<int>/LowerBound/After	3.144599	2.090470	-33.522	PASS
Map/8/mbo::types::CompareLess<int>/LowerBound/Before	3.836708	4.527570	+18.007	FAIL
Map/8/mbo::types::CompareLess<int>/LowerBound/First	1.999232	4.176110	+108.886	FAIL
Map/8/mbo::types::CompareLess<int>/LowerBound/Last	1.632225	1.738160	+6.490	FAIL
Map/8/mbo::types::CompareLess<int>/LowerBound/MiddleHit	1.614226	2.785153	+72.538	FAIL
Map/8/mbo::types::CompareLess<int>/LowerBound/MiddleMiss	1.628710	2.787547	+71.151	FAIL
Map/8/mbo::types::CompareLess<int>/UpperBound/After	3.148195	2.088516	-33.660	PASS
Map/8/mbo::types::CompareLess<int>/UpperBound/Before	3.849659	2.785684	-27.638	PASS
Map/8/mbo::types::CompareLess<int>/UpperBound/First	2.188788	2.437246	+11.351	FAIL
Map/8/mbo::types::CompareLess<int>/UpperBound/Last	1.547375	1.397794	-9.667	PASS
Map/8/mbo::types::CompareLess<int>/UpperBound/MiddleHit	1.616267	2.088813	+29.237	FAIL
Map/8/mbo::types::CompareLess<int>/UpperBound/MiddleMiss	1.622236	2.086612	+28.626	FAIL
Map/8/std::greater<>/IndexOf/After	1.048202	0.708142	-32.442	PASS
Map/8/std::greater<>/IndexOf/Before	1.818307	1.743996	-4.087	PASS
Map/8/std::greater<>/IndexOf/First	2.109713	1.740925	-17.481	PASS
Map/8/std::greater<>/IndexOf/Last	1.045492	1.045846	+0.034	FAIL
Map/8/std::greater<>/IndexOf/MiddleHit	1.749186	1.743172	-0.344	PASS
Map/8/std::greater<>/IndexOf/MiddleMiss	1.749765	1.746990	-0.159	PASS
Map/8/std::greater<>/LowerBound/After	3.135150	2.092491	-33.257	PASS
Map/8/std::greater<>/LowerBound/Before	3.833684	3.856502	+0.595	FAIL
Map/8/std::greater<>/LowerBound/First	2.202883	3.486974	+58.291	FAIL
Map/8/std::greater<>/LowerBound/Last	1.622666	1.744844	+7.529	FAIL
Map/8/std::greater<>/LowerBound/MiddleHit	1.624767	2.451652	+50.893	FAIL
Map/8/std::greater<>/LowerBound/MiddleMiss	1.612741	2.444022	+51.545	FAIL
Map/8/std::greater<>/UpperBound/After	4.179222	2.094761	-49.877	PASS
Map/8/std::greater<>/UpperBound/Before	3.842280	3.480640	-9.412	PASS
Map/8/std::greater<>/UpperBound/First	2.190991	3.493553	+59.451	FAIL
Map/8/std::greater<>/UpperBound/Last	1.613845	1.759552	+9.029	FAIL
Map/8/std::greater<>/UpperBound/MiddleHit	1.641938	2.458144	+49.710	FAIL
Map/8/std::greater<>/UpperBound/MiddleMiss	1.613608	2.442279	+51.355	FAIL
Map/8/std::less<>/IndexOf/After	1.044706	1.043670	-0.099	PASS
Map/8/std::less<>/IndexOf/Before	1.475373	1.607221	+8.937	FAIL
Map/8/std::less<>/IndexOf/First	1.940937	2.090748	+7.718	FAIL
Map/8/std::less<>/IndexOf/Last	1.044382	1.044536	+0.015	FAIL
Map/8/std::less<>/IndexOf/MiddleHit	1.391461	1.746545	+25.519	FAIL
Map/8/std::less<>/IndexOf/MiddleMiss	1.740009	1.396819	-19.723	PASS
Map/8/std::less<>/LowerBound/After	3.134739	2.094803	-33.175	PASS
